Track ID,Track Name,Artist(s),Spotify URL,Artist Name,Genres,Album Name,Album Type,Label,Album Image URL
54tzSEMiygXoQ6yTqUUb8L,Sochenge Tumhe Pyar,Kumar Sanu,https://open.spotify.com/track/54tzSEMiygXoQ6yTqUUb8L,Kumar Sanu,"bollywood, hindi pop",Deewana (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b2730d345e6c5c252b8461dc3733
5JWuNK80jSLK1jQyFInWqG,Madhosh Dil Ki Dhadkan,"Lata Mangeshkar, Kumar Sanu",https://open.spotify.com/track/5JWuNK80jSLK1jQyFInWqG,Lata Mangeshkar,"ghazal, bollywood, bhajan, hindi pop, marathi pop",Jab Pyaar Kisise Hota Hai (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b273013f5b6e9239d60b964c66a3
1cbRt12TcPp8WzD1UcLb7d,Sanam Mere Sanam,"Amit Kumar, Alka Yagnik, Laxmikant–Pyarelal",https://open.spotify.com/track/1cbRt12TcPp8WzD1UcLb7d,Amit Kumar,bollywood,Hum,album,,https://i.scdn.co/image/ab67616d0000b2738aff958bc149839f43717af7
6swiB2EqcDcBS2lojpZlaA,Mujhse Mohabbat Ka,"Kumar Sanu, Alka Yagnik",https://open.spotify.com/track/6swiB2EqcDcBS2lojpZlaA,Kumar Sanu,"bollywood, hindi pop",Hum Hain Rahi Pyar Ke (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b2735a5d99f08ec514c24dc3ac01
6wuwJIjr717Z2cPT0YLoY9,Na Woh Inkar Karti Hai,"Udit Narayan, Alka Yagnik",https://open.spotify.com/track/6wuwJIjr717Z2cPT0YLoY9,Udit Narayan,"bollywood, hindi pop, desi",Himalay Putra,album,,https://i.scdn.co/image/ab67616d0000b27382ea24dc397dc1f8ee08652b
2BoqN74f4uvI4WGi3AJrOP,Hum To Deewane Huye,"Abhijeet, Alka Yagnik",https://open.spotify.com/track/2BoqN74f4uvI4WGi3AJrOP,Abhijeet,"bollywood, hindi pop",Baadshah (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b2737cf199d96a5f08888bfd2d69
549FZ0BWEyIGVbo9FUOqPl,Are Re Are,"Uttam Singh, Lata Mangeshkar, Udit Narayan, Anand Bakshi",https://open.spotify.com/track/549FZ0BWEyIGVbo9FUOqPl,Uttam Singh,bollywood,Dil To Pagal Hai,album,,https://i.scdn.co/image/ab67616d0000b273b96494dc6eaedc90919365df
6O8ZM3IKYcSBzpnuxpCAQr,Dholna,"Uttam Singh, Lata Mangeshkar, Udit Narayan, Anand Bakshi",https://open.spotify.com/track/6O8ZM3IKYcSBzpnuxpCAQr,Uttam Singh,bollywood,Dil To Pagal Hai,album,,https://i.scdn.co/image/ab67616d0000b273b96494dc6eaedc90919365df
339XumxyHEbiKREnsOZXVN,Pyar Kar,"Uttam Singh, Lata Mangeshkar, Udit Narayan, Anand Bakshi",https://open.spotify.com/track/339XumxyHEbiKREnsOZXVN,Uttam Singh,bollywood,Dil To Pagal Hai,album,,https://i.scdn.co/image/ab67616d0000b273b96494dc6eaedc90919365df
6ttvgWnBAt72SIojbcnlKn,Ajnabi Mujhko Itna Bata,"Jatin-Lalit, Asha Bhosle, Udit Narayan",https://open.spotify.com/track/6ttvgWnBAt72SIojbcnlKn,Jatin-Lalit,"bollywood, hindi pop, desi",Pyaar To Hona Hi Tha (Original Motion Picture Soundtrack),album,,https://i.scdn.co/image/ab67616d0000b273a23500c4e9bc131bdd6786a1
